"","NAME","Median Family Income","Total Population","Year","State"
"482","Illinois",83279,12473394,2019,"IL"
"483","Indiana",71164,6476564,2019,"IN"
"484","Iowa",77099,3040947,2019,"IA"
"485","Kansas",75976,2830428,2019,"KS"
"486","Kentucky",63684,4317164,2019,"KY"
"487","Louisiana",63572,4535299,2019,"LA"
"488","Maine",73756,1299013,2019,"ME"
"489","Maryland",103108,5878256,2019,"MD"
"490","Massachusetts",103126,6601918,2019,"MA"
"491","Michigan",72600,9736947,2019,"MI"
"492","Minnesota",89842,5431436,2019,"MN"
"493","Mississippi",57008,2889445,2019,"MS"
"494","Missouri",70398,5929998,2019,"MO"
"495","Montana",71079,1021772,2019,"MT"
"496","Nebraska",78212,1862842,2019,"NE"
"497","Nevada",71916,2934612,2019,"NV"
"498","New Hampshire",95244,1306174,2019,"NH"
"499","New Jersey",102260,8694933,2019,"NJ"
"500","New Mexico",61102,2049513,2019,"NM"
"501","New York",84385,19000028,2019,"NY"
"502","North Carolina",68435,9987956,2019,"NC"
"503","North Dakota",86249,731503,2019,"ND"
"504","Ohio",72439,11340272,2019,"OH"
"505","Oklahoma",65544,3822805,2019,"OK"
"506","Oregon",76946,4041172,2019,"OR"
"507","Pennsylvania",78521,12367989,2019,"PA"
"508","Rhode Island",86258,1015751,2019,"RI"
"509","South Carolina",66357,4884815,2019,"SC"
"510","South Dakota",75168,836642,2019,"SD"
"511","Tennessee",66242,6551609,2019,"TN"
"512","Texas",73349,27661312,2019,"TX"
"513","Utah",81525,3049677,2019,"UT"
"514","Vermont",80998,598899,2019,"VT"
"515","Virginia",90141,8210230,2019,"VA"
"516","Washington",88660,7258060,2019,"WA"
"517","West Virginia",59607,1769861,2019,"WV"
"518","Wisconsin",78679,5645140,2019,"WI"
"519","Wyoming",79782,566766,2019,"WY"
"520","Puerto Rico",24979,3281828,2019,NA
"521","Alabama",66772,4776007,2020,"AL"
"522","Alaska",92648,709895,2020,"AK"
"523","Arizona",73456,7016130,2020,"AZ"
"524","Arkansas",62067,2928116,2020,"AR"
"525","California",89798,38521288,2020,"CA"
"526","Colorado",92752,5565331,2020,"CO"
"527","Connecticut",102061,3458474,2020,"CT"
"528","Delaware",84825,942727,2020,"DE"
"529","District of Columbia",120337,662982,2020,NA
"530","Florida",69670,20785401,2020,"FL"
"531","Georgia",74127,10253888,2020,"GA"
"532","Hawaii",97813,1376944,2020,"HI"
"533","Idaho",70885,1723930,2020,"ID"
"534","Illinois",86251,12419358,2020,"IL"
"535","Indiana",73265,6507458,2020,"IN"
"536","Iowa",79186,3052458,2020,"IA"
"537","Kansas",77620,2832911,2020,"KS"
"538","Kentucky",65893,4330127,2020,"KY"
"539","Louisiana",65427,4535225,2020,"LA"
"540","Maine",76192,1304478,2020,"ME"
"541","Maryland",105790,5897417,2020,"MD"
"542","Massachusetts",106526,6624698,2020,"MA"
"543","Michigan",75470,9748164,2020,"MI"
"544","Minnesota",92692,5469548,2020,"MN"
"545","Mississippi",58923,2887405,2020,"MS"
